[Spectrum]
Version            = 1
IDData             = DLAB_2024-07-04_08-22-40_130_756
IDDevice           = SAM_8860
IDDataType         = SPECTRUM
IDDataTypeSub1     = BACK
IDDataTypeSub2     = 
IDDataTypeSub3     = 
DateTime           = 2024-07-04 08:13:48
PositionLatitude   = 0
PositionLongitude  = 0
Comment            = 
CommentSub1        = 
CommentSub2        = 
CommentSub3        = 
IDMethodType       = SAM Calibration Station
MethodName         = SAM Calibration Station
Mission            = 
MissionSub         = 0
RecordType         = 0

[Attributes]
CalFactor = 1
IDBasisSpec = 
IDDataBack = 
IDDataCal = 
IntegrationTime = 8192
P31 = -1
P31e = 0
PathLength = +INF
RAWDynamic = 65535
Temperature = +NAN
Unit1 = $05 $00 Pixel 
Unit2 = $03 $05 Intensity counts
Unit3 = $03 $05 Intensity counts
Unit4 = $f1 $00 Status 
[END] of [Attributes]
[DATA]
 0 12 0 0
 1 0.0183713495770172 0.0183406813614119 0
 2 0.018246417905527 0.0183301683773856 0
 3 0.0182459496104441 0.0183773049494178 0
 4 0.0182166253352637 0.0183527172225264 0
 5 0.0182502736629924 0.0182457515158795 0
 6 0.0182477831845969 0.018117632934756 0
 7 0.0182828449469258 0.0181563640072975 0
 8 0.0182384443268054 0.0183053303288821 0
 9 0.018256711673523 0.0184802283286078 0
 10 0.0182300739883898 0.0183239791144278 0
 11 0.0182429604780446 0.0182327286823833 0
 12 0.0182141981918589 0.0184710277001467 0
 13 0.018248923563383 0.0184285411051753 0
 14 0.0182278462716914 0.0181147280519469 0
 15 0.018251075208302 0.0184115405320858 0
 16 0.0182216078623436 0.0182749829356072 0
 17 0.0182546615739611 0.0182155898563531 0
 18 0.0182109096576851 0.0183726834259293 0
 19 0.0182421802188751 0.0182680320595434 0
 20 0.0182127470703222 0.0184688688944438 0
 21 0.0182494604277534 0.0183281713904656 0
 22 0.0182219723438743 0.0184446278472748 0
 23 0.0182433745109178 0.0181079485955645 0
 24 0.0182159745377006 0.0182635098617155 0
 25 0.018248969799671 0.0183469291025706 0
 26 0.0182249328621182 0.0182708313324674 0
 27 0.0182384699748595 0.0184166841698993 0
 28 0.0182173035256464 0.0181820930191961 0
 29 0.0182416400394501 0.0180974583045715 0
 30 0.0182210516310753 0.0183249955877526 0
 31 0.0182474771527134 0.0182641241446676 0
 32 0.0182143170103953 0.0182493103071679 0
 33 0.0182331358775142 0.0183074566660913 0
 34 0.0182062640448395 0.0181509218688167 0
 35 0.0182430485887066 0.0182298506820904 0
 36 0.0182134585857276 0.0182702074486166 0
 37 0.0182421121730173 0.0181065746196862 0
 38 0.018213228451147 0.0181849579273545 0
 39 0.0182402225918892 0.01817889452345 0
 40 0.0182060468215242 0.0183202895763559 0
 41 0.0182385647156307 0.0182448478094735 0
 42 0.0182230199011312 0.0181268154087906 0
 43 0.0182248951751816 0.0181491142814429 0
 44 0.0182239844075464 0.0182889026675995 0
 45 0.0182464622225728 0.0180434342224066 0
 46 0.0182124919855938 0.0182302750418109 0
 47 0.0182521904624637 0.0181216077067988 0
 48 0.0182096389449098 0.0183265563447501 0
 49 0.0182337062413838 0.0182515635508011 0
 50 0.0182323186293144 0.018214356228157 0
 51 0.0182414835339772 0.0183682523493578 0
 52 0.0182166134708577 0.0181372088179882 0
 53 0.0182538460705269 0.0183524215148479 0
 54 0.0182237062919122 0.0180839576954459 0
 55 0.0182486536481471 0.018076566050853 0
 56 0.018215647219677 0.0182566164164819 0
 57 0.0182525507565569 0.0182264161787991 0
 58 0.0182232345072982 0.0183582215050057 0
 59 0.0182554273515762 0.0180516349609133 0
 60 0.0182152860532009 0.0181136513548033 0
 61 0.0182473517040679 0.0182330634919036 0
 62 0.0182242937544846 0.0180355096406575 0
 63 0.0182428168838369 0.0182324006807729 0
 64 0.0182224502351679 0.0183286865223188 0
 65 0.0182519678303751 0.0182986681780251 0
 66 0.0182283684800308 0.018103256025426 0
 67 0.018245819625408 0.0182518328996488 0
 68 0.0182302777770101 0.0181881546774828 0
 69 0.0182512987127734 0.0181734045550378 0
 70 0.0182249963715855 0.0183531438515503 0
 71 0.0182619320121522 0.0184151433129462 0
 72 0.0182267791730598 0.0182600535382 0
 73 0.0182528459708938 0.0182842331396177 0
 74 0.0182473393162322 0.0180862599909431 0
 75 0.0182498653878456 0.0183838264034691 0
 76 0.0182158403652272 0.0182315910631737 0
 77 0.0182489835833192 0.0181444965983138 0
 78 0.0182370289729631 0.0183065945053921 0
 79 0.0182546338321883 0.0182874567722622 0
 80 0.0182355178314903 0.01835757475356 0
 81 0.0182664465931023 0.0181679486261753 0
 82 0.0182330699253751 0.0182871910892122 0
 83 0.0182547622469354 0.0182889059842736 0
 84 0.0182257570893804 0.0182216859033131 0
 85 0.0182534552430359 0.0182412699909496 0
 86 0.0182329565156121 0.0182674478012199 0
 87 0.0182566089068301 0.0180872933967619 0
 88 0.0182343467448299 0.0183456549760383 0
 89 0.0182567887921619 0.0182828237276953 0
 90 0.0182272656137048 0.0182718748628702 0
 91 0.0182713111740287 0.0181659364523792 0
 92 0.0182197971446199 0.0183931885015894 0
 93 0.0182678687515303 0.0181618387888336 0
 94 0.0182193518804427 0.0182416074188968 0
 95 0.018268595969826 0.0184839730282065 0
 96 0.0182275058679258 0.0182806806325539 0
 97 0.018262382161673 0.0181668797843124 0
 98 0.0182347222183837 0.0182566029752238 0
 99 0.0182584742357166 0.0184093063156881 0
